"tab_code","表章項目","cat01_code","確定値","cat02_code","男女別","cat03_code","年齢5歳階級","cat04_code","人口","area_code","全国","time_code","時間軸（年月日現在）","unit","value"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2021000606","2021年6月","千人","122952"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2021000707","2021年7月","千人","122928"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2021000808","2021年8月","千人","122898"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2021000909","2021年9月","千人","122834"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2021001010","2021年10月","千人","122780"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2021001111","2021年11月","千人","122728"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2021001212","2021年12月","千人","122674"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2022000101","2022年1月","千人","122638"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2022000202","2022年2月","千人","122530"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2022000303","2022年3月","千人","122444"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2022000404","2022年4月","千人","122388"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2022000505","2022年5月","千人","122325"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2022000606","2022年6月","千人","122272"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2022000707","2022年7月","千人","122263"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2022000808","2022年8月","千人","122238"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2022000909","2022年9月","千人","122104"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2022001010","2022年10月","千人","122031"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2022001111","2022年11月","千人","121969"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2022001212","2022年12月","千人","121901"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2023000101","2023年1月","千人","121893"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2023000202","2023年2月","千人","121721"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2023000303","2023年3月","千人","121631"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2023000404","2023年4月","千人","121576"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2023000505","2023年5月","千人","121499"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2023000606","2023年6月","千人","121448"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2023000707","2023年7月","千人","121441"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2023000808","2023年8月","千人","121410"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2023000909","2023年9月","千人","121270"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2023001010","2023年10月","千人","121193"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2023001111","2023年11月","千人","121118"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2023001212","2023年12月","千人","121047"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2024000101","2024年1月","千人","121052"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2024000202","2024年2月","千人","120885"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2024000303","2024年3月","千人","120792"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2024000404","2024年4月","千人","120722"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2024000505","2024年5月","千人","120632"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2024000606","2024年6月","千人","120576"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2024000707","2024年7月","千人","120557"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2024000808","2024年8月","千人","120518"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2024000909","2024年9月","千人","120372"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2024001010","2024年10月","千人","120296"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2024001111","2024年11月","千人","120227"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2024001212","2024年12月","千人","120155"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2025000101","2025年1月","千人","120149"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2025000202","2025年2月","千人","119967"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2025000303","2025年3月","千人","119855"
