都道府県,国籍,時点,人口
福岡県,ミャンマー,2024/06,3955
佐賀県,ミャンマー,2024/06,932
長崎県,ミャンマー,2024/06,946
熊本県,ミャンマー,2024/06,1591
大分県,ミャンマー,2024/06,1879
宮崎県,ミャンマー,2024/06,810
鹿児島県,ミャンマー,2024/06,1172
沖縄県,ミャンマー,2024/06,711
未定・不詳,ミャンマー,2024/06,447
総数,台湾,2024/06,67277
北海道,台湾,2024/06,1570
青森県,台湾,2024/06,88
岩手県,台湾,2024/06,124
宮城県,台湾,2024/06,468
秋田県,台湾,2024/06,49
山形県,台湾,2024/06,136
福島県,台湾,2024/06,149
茨城県,台湾,2024/06,1348
栃木県,台湾,2024/06,989
群馬県,台湾,2024/06,454
埼玉県,台湾,2024/06,3385
千葉県,台湾,2024/06,4084
東京都,台湾,2024/06,23438
神奈川県,台湾,2024/06,6182
新潟県,台湾,2024/06,304
富山県,台湾,2024/06,180
石川県,台湾,2024/06,232
福井県,台湾,2024/06,118
山梨県,台湾,2024/06,579
長野県,台湾,2024/06,785
岐阜県,台湾,2024/06,193
静岡県,台湾,2024/06,841
愛知県,台湾,2024/06,2216
三重県,台湾,2024/06,433
滋賀県,台湾,2024/06,274
京都府,台湾,2024/06,2088
大阪府,台湾,2024/06,7629
兵庫県,台湾,2024/06,2217
奈良県,台湾,2024/06,363
和歌山県,台湾,2024/06,134
鳥取県,台湾,2024/06,62
島根県,台湾,2024/06,57
岡山県,台湾,2024/06,197
広島県,台湾,2024/06,411
山口県,台湾,2024/06,123
徳島県,台湾,2024/06,54
香川県,台湾,2024/06,126
愛媛県,台湾,2024/06,112
高知県,台湾,2024/06,66
福岡県,台湾,2024/06,1354
佐賀県,台湾,2024/06,52
長崎県,台湾,2024/06,140
熊本県,台湾,2024/06,1753
大分県,台湾,2024/06,197
宮崎県,台湾,2024/06,50
鹿児島県,台湾,2024/06,135
沖縄県,台湾,2024/06,963
未定・不詳,台湾,2024/06,375
総数,米国,2024/06,64842
北海道,米国,2024/06,1520
青森県,米国,2024/06,405
岩手県,米国,2024/06,220
宮城県,米国,2024/06,717
秋田県,米国,2024/06,224
山形県,米国,2024/06,210
福島県,米国,2024/06,298
茨城県,米国,2024/06,900
栃木県,米国,2024/06,555
群馬県,米国,2024/06,554
埼玉県,米国,2024/06,2269
千葉県,米国,2024/06,2647
東京都,米国,2024/06,22007
神奈川県,米国,2024/06,6871
新潟県,米国,2024/06,373
富山県,米国,2024/06,236
石川県,米国,2024/06,336
福井県,米国,2024/06,209
山梨県,米国,2024/06,377
長野県,米国,2024/06,773
岐阜県,米国,2024/06,443
静岡県,米国,2024/06,879
愛知県,米国,2024/06,2461
三重県,米国,2024/06,334
滋賀県,米国,2024/06,393
京都府,米国,2024/06,1930
大阪府,米国,2024/06,3706
兵庫県,米国,2024/06,2610
奈良県,米国,2024/06,426
和歌山県,米国,2024/06,188
鳥取県,米国,2024/06,89
島根県,米国,2024/06,159
岡山県,米国,2024/06,429
広島県,米国,2024/06,822
山口県,米国,2024/06,486
徳島県,米国,2024/06,184
香川県,米国,2024/06,199
愛媛県,米国,2024/06,241
高知県,米国,2024/06,178
福岡県,米国,2024/06,1707
佐賀県,米国,2024/06,122
長崎県,米国,2024/06,517
熊本県,米国,2024/06,438
大分県,米国,2024/06,331
宮崎県,米国,2024/06,237
鹿児島県,米国,2024/06,311
沖縄県,米国,2024/06,2830
未定・不詳,米国,2024/06,491
総数,タイ,2024/06,63689
北海道,タイ,2024/06,1471
青森県,タイ,2024/06,170
岩手県,タイ,2024/06,220
宮城県,タイ,2024/06,429
秋田県,タイ,2024/06,96
山形県,タイ,2024/06,203
福島県,タイ,2024/06,389
茨城県,タイ,2024/06,5512
栃木県,タイ,2024/06,2076
群馬県,タイ,2024/06,1365
埼玉県,タイ,2024/06,4233
千葉県,タイ,2024/06,6996
東京都,タイ,2024/06,9103
神奈川県,タイ,2024/06,4858
新潟県,タイ,2024/06,477
富山県,タイ,2024/06,228
石川県,タイ,2024/06,348
福井県,タイ,2024/06,302
山梨県,タイ,2024/06,674
長野県,タイ,2024/06,2654
岐阜県,タイ,2024/06,1001
静岡県,タイ,2024/06,1788
愛知県,タイ,2024/06,4372
三重県,タイ,2024/06,1952
滋賀県,タイ,2024/06,547
京都府,タイ,2024/06,1031
大阪府,タイ,2024/06,3078
兵庫県,タイ,2024/06,1414
奈良県,タイ,2024/06,513
和歌山県,タイ,2024/06,582
鳥取県,タイ,2024/06,90
島根県,タイ,2024/06,151
岡山県,タイ,2024/06,436
広島県,タイ,2024/06,1535
山口県,タイ,2024/06,315
徳島県,タイ,2024/06,82
香川県,タイ,2024/06,159
愛媛県,タイ,2024/06,170
高知県,タイ,2024/06,76
福岡県,タイ,2024/06,854
佐賀県,タイ,2024/06,100
長崎県,タイ,2024/06,118
熊本県,タイ,2024/06,450
大分県,タイ,2024/06,338
宮崎県,タイ,2024/06,78
鹿児島県,タイ,2024/06,115
沖縄県,タイ,2024/06,333
未定・不詳,タイ,2024/06,207
総数,スリランカ,2024/06,56179
北海道,スリランカ,2024/06,589
青森県,スリランカ,2024/06,34
岩手県,スリランカ,2024/06,27
宮城県,スリランカ,2024/06,617
秋田県,スリランカ,2024/06,163
山形県,スリランカ,2024/06,38
福島県,スリランカ,2024/06,230
茨城県,スリランカ,2024/06,5012
栃木県,スリランカ,2024/06,2951
群馬県,スリランカ,2024/06,1785
埼玉県,スリランカ,2024/06,3445
千葉県,スリランカ,2024/06,9782
東京都,スリランカ,2024/06,4530
神奈川県,スリランカ,2024/06,6686
新潟県,スリランカ,2024/06,316
富山県,スリランカ,2024/06,64
石川県,スリランカ,2024/06,76
福井県,スリランカ,2024/06,70
山梨県,スリランカ,2024/06,194
長野県,スリランカ,2024/06,458
岐阜県,スリランカ,2024/06,967
静岡県,スリランカ,2024/06,2579
愛知県,スリランカ,2024/06,4299
三重県,スリランカ,2024/06,1500
滋賀県,スリランカ,2024/06,130
京都府,スリランカ,2024/06,1358
大阪府,スリランカ,2024/06,2154
兵庫県,スリランカ,2024/06,999
奈良県,スリランカ,2024/06,395
和歌山県,スリランカ,2024/06,91
鳥取県,スリランカ,2024/06,35
島根県,スリランカ,2024/06,8
